,activity_id,date_start,date_end,placeid,description,is_done,max_participants,feedback_due
1010,232835,2022-08-31T19:55:00+02:00,2022-08-31T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-09-30T20:25:00+02:00
1011,236473,2022-08-31T15:00:00+02:00,2022-08-31T15:30:00+02:00,2188,"Sandwiches and salads from an event at football stadium. Pickup today before 17h   To find the place: OHL stadium, exact location of the entrance has been pinned in the map with the location.  Just in case entry is on the side looking to the tennis courts. The event is called ""Study League"".",TRUE,3,2022-09-30T15:30:00+02:00
1012,234425,2022-08-30T20:30:00+02:00,2022-08-30T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-29T21:00:00+02:00
1013,234424,2022-08-29T20:30:00+02:00,2022-08-29T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-28T21:00:00+02:00
1014,233785,2022-08-28T20:50:00+02:00,2022-08-28T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-27T21:20:00+02:00
1015,234423,2022-08-28T20:30:00+02:00,2022-08-28T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-27T21:00:00+02:00
1016,231818,2022-08-27T16:55:00+02:00,2022-08-27T17:25:00+02:00,1480,"Closest HUB: Drop the excess food at the nearest hub at Constantin meunierstraat 50.  Do not forget to bring your own bags for the pickup.  Additionally, carry Tupperware or a box of that kind as Panos gives away also fresh salads. It might not be appropriate to leave that at the hub, so give the excess to people around you so it is consumed immediately",TRUE,2,2022-09-26T17:25:00+02:00
1017,231703,2022-08-27T08:00:00+02:00,2022-08-27T10:00:00+02:00,858,"If you are more then one, coordinate a pick-up time!   Meetingpoint: the door next to the store (left)  If the door is open you can just go in, otherwise ring the bell which says 'Delhaize'  There should be a black plastic bag with bread at the end of the hallway   Closest HUB: It can be a lot so bring enough bags! the entire quantity has to be picked up! excess can be dropped at hubs",TRUE,2,2022-09-26T10:00:00+02:00
1018,233430,2022-08-26T20:50:00+02:00,2022-08-26T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-25T21:20:00+02:00
1019,234421,2022-08-26T20:30:00+02:00,2022-08-26T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-25T21:00:00+02:00
1020,231375,2022-08-26T08:00:00+02:00,2022-08-26T10:00:00+02:00,858,"If you are more then one, coordinate a pick-up time!   Meetingpoint: the door next to the store (left)  If the door is open you can just go in, otherwise ring the bell which says 'Delhaize'  There should be a black plastic bag with bread at the end of the hallway   Closest HUB: It can be a lot so bring enough bags! the entire quantity has to be picked up! excess can be dropped at hubs",TRUE,2,2022-09-25T10:00:00+02:00
1021,233103,2022-08-25T20:50:00+02:00,2022-08-25T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-24T21:20:00+02:00
1022,234420,2022-08-25T20:30:00+02:00,2022-08-25T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-24T21:00:00+02:00
1023,231310,2022-08-25T19:55:00+02:00,2022-08-25T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-09-24T20:25:00+02:00
1024,234419,2022-08-24T20:30:00+02:00,2022-08-24T21:00:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-23T21:00:00+02:00
1025,232278,2022-08-22T20:50:00+02:00,2022-08-22T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-21T21:20:00+02:00
1026,231995,2022-08-21T20:50:00+02:00,2022-08-21T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-20T21:20:00+02:00
1027,231894,2022-08-20T20:50:00+02:00,2022-08-20T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-19T21:20:00+02:00
1028,230010,2022-08-20T16:55:00+02:00,2022-08-20T17:25:00+02:00,1480,"Closest HUB: Drop the excess food at the nearest hub at Constantin meunierstraat 50.  Do not forget to bring your own bags for the pickup.  Additionally, carry Tupperware or a box of that kind as Panos gives away also fresh salads. It might not be appropriate to leave that at the hub, so give the excess to people around you so it is consumed immediately",TRUE,2,2022-09-19T17:25:00+02:00
1029,231642,2022-08-19T20:50:00+02:00,2022-08-19T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-18T21:20:00+02:00
1030,231093,2022-08-17T20:50:00+02:00,2022-08-17T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-16T21:20:00+02:00
1031,229352,2022-08-17T19:55:00+02:00,2022-08-17T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-09-16T20:25:00+02:00
1032,230807,2022-08-16T20:50:00+02:00,2022-08-16T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-15T21:20:00+02:00
1033,230254,2022-08-14T20:50:00+02:00,2022-08-14T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-13T21:20:00+02:00
1034,228324,2022-08-13T16:55:00+02:00,2022-08-13T17:25:00+02:00,1480,"Closest HUB: Drop the excess food at the nearest hub at Constantin meunierstraat 50.  Do not forget to bring your own bags for the pickup.  Additionally, carry Tupperware or a box of that kind as Panos gives away also fresh salads. It might not be appropriate to leave that at the hub, so give the excess to people around you so it is consumed immediately",TRUE,2,2022-09-12T17:25:00+02:00
1035,229913,2022-08-12T20:50:00+02:00,2022-08-12T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-11T21:20:00+02:00
1036,229624,2022-08-11T20:50:00+02:00,2022-08-11T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-10T21:20:00+02:00
1037,229384,2022-08-10T20:50:00+02:00,2022-08-10T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-09T21:20:00+02:00
1038,227600,2022-08-10T19:55:00+02:00,2022-08-10T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-09-09T20:25:00+02:00
1039,229080,2022-08-09T20:50:00+02:00,2022-08-09T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-08T21:20:00+02:00
1040,228492,2022-08-07T20:50:00+02:00,2022-08-07T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-06T21:20:00+02:00
1041,226609,2022-08-06T16:55:00+02:00,2022-08-06T17:25:00+02:00,1480,"Closest HUB: Drop the excess food at the nearest hub at Constantin meunierstraat 50.  Do not forget to bring your own bags for the pickup.  Additionally, carry Tupperware or a box of that kind as Panos gives away also fresh salads. It might not be appropriate to leave that at the hub, so give the excess to people around you so it is consumed immediately",TRUE,2,2022-09-05T17:25:00+02:00
1042,226494,2022-08-06T08:00:00+02:00,2022-08-06T10:00:00+02:00,858,"If you are more then one, coordinate a pick-up time!   Meetingpoint: the door next to the store (left)  If the door is open you can just go in, otherwise ring the bell which says 'Delhaize'  There should be a black plastic bag with bread at the end of the hallway   Closest HUB: It can be a lot so bring enough bags! the entire quantity has to be picked up! excess can be dropped at hubs",TRUE,2,2022-09-05T10:00:00+02:00
1043,227856,2022-08-04T20:50:00+02:00,2022-08-04T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-03T21:20:00+02:00
1044,225909,2022-08-04T08:00:00+02:00,2022-08-04T10:00:00+02:00,858,"If you are more then one, coordinate a pick-up time!   Meetingpoint: the door next to the store (left)  If the door is open you can just go in, otherwise ring the bell which says 'Delhaize'  There should be a black plastic bag with bread at the end of the hallway   Closest HUB: It can be a lot so bring enough bags! the entire quantity has to be picked up! excess can be dropped at hubs",TRUE,2,2022-09-03T10:00:00+02:00
1045,227621,2022-08-03T20:50:00+02:00,2022-08-03T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-09-02T21:20:00+02:00
1046,225846,2022-08-03T19:55:00+02:00,2022-08-03T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-09-02T20:25:00+02:00
1047,225629,2022-08-03T08:00:00+02:00,2022-08-03T10:00:00+02:00,858,"If you are more then one, coordinate a pick-up time!   Meetingpoint: the door next to the store (left)  If the door is open you can just go in, otherwise ring the bell which says 'Delhaize'  There should be a black plastic bag with bread at the end of the hallway   Closest HUB: It can be a lot so bring enough bags! the entire quantity has to be picked up! excess can be dropped at hubs",TRUE,2,2022-09-02T10:00:00+02:00
1048,227050,2022-08-01T20:50:00+02:00,2022-08-01T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-08-31T21:20:00+02:00
1049,226785,2022-07-31T20:50:00+02:00,2022-07-31T21:20:00+02:00,760,"Closest HUB - If there is excess food, drop it at the nearest hub - Constantin Meunierstraat 50. Let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-08-30T21:20:00+02:00
