,activity_id,join_date,userid,weight,feedback
63,472848,2024-10-20T10:57:06.811046Z,12899,3.0,"but the other person didn’t show up socan only carry as much bread ascan in the end 
 1 mango 
 a few carrots 
 a bag of salad 
 a lot of bread"
64,472848,2024-11-05T17:39:47.294302Z,17541,8.0,
65,472750,2024-11-05T17:39:33.095143Z,17541,2.5,
66,470480,2024-10-24T18:52:44.552399Z,2834,0.0,"two pre made meals 
 a pack of 4 yogurts 
 6 bananas 
 4 packages of veggies 
 pastries 
 bread"
67,472699,2024-10-19T16:36:46.772000Z,2834,0.0,
68,472675,2024-10-19T16:47:21.885768Z,17933,0.0,i pick up bread
69,470169,2024-10-18T19:31:42.186942Z,13155,5.0,"got 3 pax of pork 
 16 pax of yoghurt 
 3 ready to eat meals 
 2 pastries"
70,472395,2024-10-19T06:25:27.470573Z,17529,0.0,"a lot of meat 
 think 10 packages mostly pork 
 one packet of cheese 
 one packet of grapes 
 2 packs of sliced bread 
 5-6 big breads 
 one pack of toast crackers"
71,470114,2024-10-19T00:53:16.336272Z,2834,0.0,"everything was fine 4 spicy soup base 
 vegetables"
72,472033,2024-10-17T18:48:56.405041Z,13155,12.0,"along with filip collected the foods inside the shop 
 several pastries 
 small breads 
 big breads 
 some desserts 
 fruits 
 eggs"
73,471985,2024-10-18T16:10:17.207752Z,16248,31.0,"mainly got classic bread loaves 
 artisan bread along with about 100 pastries 
 20 bread rolls 
 some veggies"
74,471385,2024-11-05T17:39:07.446148Z,17541,3.0,
75,469117,2024-10-19T00:58:28.562828Z,2834,0.0,"1 pack of veggies 
 also several chocolate croissant 
 pastries 
 one bread"
76,471353,2024-10-16T15:38:34.679512Z,16248,7.0,"collected the food 
 meat 
 desserts 
 pre-cut vegetables 
 fruit 
 bread spread 
 pastries 
 bread"
77,468778,2024-11-05T17:38:54.740274Z,17541,12.0,
78,470533,2024-11-05T17:38:36.350199Z,17541,2.0,
79,468263,2024-10-19T01:00:33.478426Z,2834,0.0,"2 salad 
 3 pasta bolognese 
 some salad dressing 
 2 pastries 
 some small breads"
80,470211,2024-10-11T22:02:17.391425Z,14081,0.0,
81,467879,2024-10-19T00:56:35.933020Z,2834,0.0,"nachos 
 one cola 
 canned bamboo 
 canned young green jackfruit 
 ice tea"
82,467573,2024-10-10T18:53:10.598724Z,13155,1.5,"got 2 bags of pastries 
 small breads 
 a box of eggs"
83,469823,2024-11-05T17:38:09.994579Z,17541,6.0,
84,469494,2024-10-09T19:49:35.538631Z,6108,0.0,
85,466883,2024-10-19T01:03:44.067874Z,2834,0.0,"got 2 dragon fruits 
 3 potatoes 
 some bread 
 pastries"
86,469130,2024-10-24T15:11:54.128910Z,12826,0.0,"i got two packs of fish 
 cream pasta 
 split a pack of cucumbers 
 strawberries"
87,469130,2024-11-05T17:37:44.184404Z,17541,10.0,
88,468791,2024-10-07T18:46:18.783067Z,13155,12.0,"several vegetables 
 pre cut vegetables 
 4 pax of meat pork 
 fruits apples 
 several potato salads 
 1 package ready to eat salad 
 several pastries 
 some breads"
89,466035,2024-10-05T19:04:55.697018Z,16010,5.0,"2 multigrain bread loaves 
 a donut 
 2 bags of oven roasting vegetables 
 a ready chicken meal 
 2 bowls of chicken pesto pasta"
90,465666,2024-10-04T17:23:17.896723Z,13155,2.0,around 15 instant noodles spicy
91,467586,2024-10-04T19:23:59.624033Z,16248,14.0,"a varied food collection with 4 packs of smoked salmon 
 5 packs of meat 
 32 fresh quail eggs 
 roe paté bread spread 
 4 packs of sliced cheese père joseph 
 3 containers of meat bread spread along with 2 cucumbers 
 4 packs of pomegranate seeds 
 from the bakery 4 artisan pastries with icing also called tom pouce 
 5 nutella croissants 
 raisins along with the classic pastries 
 6 packs of proteïn sliced bread 
 3 artisan bread loaves 
 2 white bread loaves"
92,466896,2024-10-01T20:02:13.487211Z,2834,0.0,"3 packages of soybeans sprouts 
 3 packs of 4 individual yogurts 
 1 pack of meat 
 several pastries 
 one big bread 
 one pack of meat 
 one pack of slice mushrooms"
