,lat,lon,city,housenumber,postcode,street,name,opening_hours,amenity_type,amenity_extra,website,x,y,statistical_sector
289,50.8836052,4.70248,Leuven,2,3000,Lombaardenstraat,Colruyt,"Mo-Th,Sa 08:30-20:00; Fr 08:30-21:00",supermarket,,https://www.colruyt.be/nl/winkelzoeker/colruyt-leuven,173484.5007557507,174857.8959795246,Kardinaalstraat
290,50.8739258,4.7847477,Lubbeek,74,3212,Lostraat,Slagerij Feytens,,butcher_shop,,,179279.68993296803,173810.43866515718,Pellenberg-kern
291,50.8809836,4.708945,Leuven,5,3000,Louis Melsensstraat,Kabab Sahtain,Mo-Su 11:00-22:30,fast_food,kebab;syrian;italian_pizza,https://sahtain.be,173940.7802613385,174568.33611014858,Lepelstraat
292,50.8805744,4.7094935,Leuven,25,3000,Louis Melsensstraat,Multi Croc,,restaurant,sandwich;dessert,,173979.5895417936,174522.99379231595,Bondgenotenlaan
293,50.8807533,4.708923,Leuven,12,3000,Louis Melsensstraat,Whisk Eight,Mo-Fr 11:30-18:00; Sa 12:30-18:00,sweets_shop,,https://www.whiskeight.com,173939.34963795642,174542.71028858516,Lepelstraat
294,50.8796184,4.7018652,Leuven,11,3000,Margarethaplein,De Fiere Margriet,14:00-2:00,cafe,,http://defieremargriet.eu/,173443.23102253088,174414.20693485625,Leuven diestse straat
295,50.8796088,4.7019086,Leuven,11A,3000,Margarethaplein,Pinocchio,,ice_cream,,,173446.29013289945,174413.1527556898,Leuven diestse straat
296,50.880121,4.7007961,Leuven,3,3000,Margarethaplein,Leuven Central,Mo-Th 09:30-24:00; Fr 09:30-26:30; Sa 10:30-26:30; Su 13:00-22:00,pub,cafe,,173367.74174145111,174469.77880438883,Leuven-centrum
297,50.8800298,4.7006528,Leuven,1,3000,Margarethaplein,Würst,Mo-Su 12:00-20:00,restaurant,hot_dog,https://www.wurstdogs.be/,173357.70243777768,174459.58847842645,Leuven-centrum
298,50.8798485,4.7015771,Leuven,6,3000,Margarethaplein,Susuru Ramen,"Tu-Sa 12:00-14:30,18:00-21:30",restaurant,japanese,https://susuruleuven.be/,173422.84079402138,174439.71230083145,Leuven-centrum
299,50.880428,4.7144727,Leuven,125,3000,Maria-Theresiastraat,Sac à Pain,Mo-Fr 07:00-14:00,fast_food,sandwich_shop,https://www.sacapain.be/,174330.0732902601,174508.33110111114,Maria-theresiastraat
300,50.8781642,4.7115092,Leuven,47,3000,Maria-Theresiastraat,Mediteranee,,supermarket,,,174122.68311616458,174255.5359811606,Kleine gevangenis
