placeid,start_hour,end_hour,average_duration,average_max_participants
760,18.215743440233236,18.62390670553936,0.40816326530612246,2.151603498542274
761,15.892857142857142,16.321428571428573,0.42857142857142855,3.107142857142857
843,18.0,18.43010752688172,0.43010752688172044,2.0
854,16.42578125,17.15234375,0.7265625,3.25390625
858,13.301242236024844,13.987577639751553,0.6863354037267081,3.9472049689440993
871,16.47826086956522,16.47826086956522,0.0,4.0
876,15.329411764705883,15.588235294117647,0.25882352941176473,3.541176470588235
885,10.88888888888889,11.88888888888889,1.0,5.666666666666667
950,15.428571428571429,15.428571428571429,0.0,2.0
1178,17.11111111111111,17.333333333333332,0.2222222222222222,2.888888888888889
1417,17.2,18.2,1.0,11.7
1480,14.56,15.2,0.64,2.0
1947,18.428571428571427,18.428571428571427,0.0,1.0
2091,13.0,13.0,0.0,
2188,13.0,13.0,0.0,3.0
2210,17.733333333333334,17.733333333333334,0.0,5.226666666666667
2593,11.5,11.5,0.0,4.0
2642,17.233333333333334,17.233333333333334,0.0,3.066666666666667
2759,15.176470588235293,15.176470588235293,0.0,3.0
2766,16.906666666666666,17.906666666666666,1.0,1.3066666666666666
