placeid,grade
760,0.3791208791208791
761,0.3611111111111111
843,0.1836734693877551
854,0.5508771929824562
858,0.49333333333333335
871,0.32142857142857145
876,0.30612244897959184
885,0.4
950,0.125
1178,0.38461538461538464
1417,0.35
1480,0.4074074074074074
1947,0.14285714285714285
2091,0.4
2188,1.0
2210,0.4659090909090909
2593,0.5
2642,0.6
2759,0.6
2766,0.5333333333333333
